1.614	1.650	crackle
2.776	2.811	crackle
2.981	3.009	crackle
3.217	3.248	crackle
3.255	3.287	crackle
3.298	3.331	crackle
3.337	3.368	crackle
3.411	3.456	crackle
3.503	3.551	crackle
3.700	3.724	crackle
4.235	4.272	crackle
5.336	5.366	crackle
5.592	5.623	crackle
5.645	5.680	crackle
5.809	5.853	crackle
6.008	6.045	crackle
6.376	6.406	crackle
6.914	6.962	crackle
7.044	7.081	crackle
7.352	7.380	crackle
7.424	7.451	crackle
7.461	7.506	crackle
7.554	7.588	crackle
7.621	7.660	crackle
8.133	8.158	crackle
8.514	8.549	crackle
8.577	8.606	crackle
8.751	8.780	crackle
8.951	8.982	crackle
9.347	9.383	crackle
9.646	9.688	crackle
9.739	9.777	crackle
9.834	9.861	crackle
9.878	9.913	crackle
9.925	9.956	crackle
9.978	10.011	crackle
10.093	10.120	crackle
10.203	10.227	crackle
10.921	10.956	crackle
11.098	11.136	crackle
11.456	11.498	crackle
11.825	11.852	crackle
11.874	11.904	crackle
11.964	11.996	crackle
12.110	12.138	crackle
12.200	12.231	crackle
12.461	12.487	crackle
12.518	12.537	crackle
12.731	12.763	crackle
12.768	12.799	crackle
12.829	12.855	crackle
12.924	12.952	crackle
13.005	13.054	crackle
13.118	13.145	crackle
15.742	15.768	crackle
15.962	15.995	crackle
16.093	16.139	crackle
16.301	16.336	crackle
16.483	16.511	crackle
17.401	17.430	crackle
17.476	17.519	crackle
17.764	17.797	crackle
18.520	18.581	crackle
18.564	18.602	crackle
19.331	19.368	crackle
19.407	19.441	crackle
19.494	19.530	crackle
