0.233	0.265	crackle
0.478	0.517	crackle
0.686	0.715	crackle
0.746	0.788	crackle
1.778	1.805	crackle
1.869	1.893	crackle
2.537	2.559	crackle
3.358	3.409	crackle
3.492	3.542	crackle
3.839	3.868	crackle
3.886	3.910	crackle
4.049	4.084	crackle
4.180	4.235	crackle
4.546	4.574	crackle
5.687	5.718	crackle
6.053	6.079	crackle
6.129	6.169	crackle
6.206	7.030	wheeze
7.416	7.636	wheeze
7.983	8.017	crackle
10.219	10.251	crackle
10.246	10.278	crackle
13.512	13.531	crackle
14.160	14.217	crackle
14.409	14.436	crackle
15.902	15.934	crackle
15.948	15.965	crackle
16.012	16.040	crackle
17.356	17.390	crackle
17.726	17.757	crackle
17.753	17.787	crackle
18.034	18.058	crackle
