0.090	0.115	crackle
0.922	0.940	crackle
1.222	1.244	crackle
2.716	2.732	crackle
2.936	2.959	crackle
3.051	3.072	crackle
3.523	3.613	wheeze
4.102	4.127	crackle
4.268	4.292	crackle
4.424	4.443	crackle
4.726	4.746	crackle
5.235	5.265	crackle
6.046	6.084	crackle
6.219	6.242	crackle
6.278	6.292	crackle
7.346	7.371	crackle
8.234	8.255	crackle
8.274	8.290	crackle
8.316	8.336	crackle
8.370	8.390	crackle
10.100	10.121	crackle
10.238	10.262	crackle
10.652	10.676	crackle
11.294	11.318	crackle
12.024	12.040	crackle
12.782	12.803	crackle
13.225	13.243	crackle
14.128	14.145	crackle
14.206	14.227	crackle
14.406	14.427	crackle
15.144	15.166	crackle
15.236	15.260	crackle
16.148	16.164	crackle
16.369	16.384	crackle
17.060	17.086	crackle
17.328	17.349	crackle
17.413	17.439	crackle
17.959	17.998	crackle
17.980	17.995	crackle
18.060	18.075	crackle
18.140	18.161	crackle
18.171	18.188	crackle
18.292	18.309	crackle
18.459	18.479	crackle
19.417	19.442	crackle
