1.027	1.055	crackle
1.233	1.254	crackle
1.423	1.442	crackle
1.598	1.622	crackle
2.052	2.088	crackle
2.607	3.893	wheeze
4.265	4.297	crackle
4.616	4.648	crackle
5.075	5.116	crackle
5.202	5.229	crackle
6.063	6.091	crackle
6.879	7.836	wheeze
8.022	8.044	crackle
8.333	8.367	crackle
9.054	9.093	crackle
9.365	9.391	crackle
9.820	9.856	crackle
10.197	10.231	crackle
10.415	10.439	crackle
10.574	10.602	crackle
11.013	11.041	crackle
11.436	13.093	wheeze
14.927	14.963	crackle
15.035	15.104	crackle
15.117	15.159	crackle
16.164	18.250	wheeze
