1.429	1.774	wheeze
3.394	3.424	crackle
3.459	3.489	crackle
3.571	3.592	crackle
5.089	5.113	crackle
7.368	7.392	crackle
7.402	7.425	crackle
7.440	7.462	crackle
7.482	7.504	crackle
11.150	11.167	crackle
11.204	11.227	crackle
11.560	11.580	crackle
11.593	11.619	crackle
13.278	13.307	crackle
13.492	13.528	crackle
13.691	13.725	crackle
15.463	15.481	crackle
15.513	15.539	crackle
15.616	15.638	crackle
15.734	15.754	crackle
15.973	15.998	crackle
16.905	16.931	crackle
17.169	17.194	crackle
