2.148	2.174	crackle
2.462	2.485	crackle
2.505	2.527	crackle
2.661	2.682	crackle
2.973	2.989	crackle
5.798	5.829	crackle
6.307	6.331	crackle
6.600	6.616	crackle
6.633	6.661	crackle
6.835	6.856	crackle
7.060	7.086	crackle
7.154	7.183	crackle
9.523	9.547	crackle
9.859	9.885	crackle
10.067	10.094	crackle
10.141	10.170	crackle
10.291	10.309	crackle
10.394	10.414	crackle
10.497	10.514	crackle
10.535	10.561	crackle
10.697	10.714	crackle
10.833	10.851	crackle
10.948	10.975	crackle
13.431	13.451	crackle
13.767	13.791	crackle
13.873	13.891	crackle
13.951	13.971	crackle
14.002	14.025	crackle
14.238	14.258	crackle
14.539	14.564	crackle
16.499	16.526	crackle
17.299	17.337	crackle
17.569	17.598	crackle
17.694	17.732	crackle
17.991	18.016	crackle
18.038	18.061	crackle
18.180	18.207	crackle
18.385	18.420	crackle
